time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
2.692673,-1.5472,-0.4420,-1.7658,2.389
2.700165,-0.9583,-0.5299,-1.6928,2.016
2.713045,-0.2912,-0.6363,-1.1623,1.357
2.722002,-0.4758,-0.5502,-1.2654,1.460
2.732623,0.2883,-0.2350,-1.0451,1.109
2.740752,1.4801,0.0325,-0.3587,1.523
2.752900,2.4859,0.2936,0.4553,2.544
2.760418,2.7986,0.3828,0.6903,2.908
2.774061,2.0467,0.1708,0.9695,2.271
2.780521,1.5722,-0.2109,0.2245,1.602
2.792803,0.9029,-0.6957,0.2455,1.166
2.800488,0.5339,-0.7873,-0.2580,0.986
2.812796,-0.0246,-0.5801,-0.6484,0.870
2.821585,-0.3419,-0.3938,-0.6617,0.843
2.832829,-0.3584,0.0419,-0.2490,0.438
2.843234,0.0802,0.2816,-0.2026,0.356
2.852788,0.2451,0.4894,0.4748,0.725
2.860566,-0.0994,0.2582,0.6344,0.692
2.874083,-0.2296,-0.1833,1.0828,1.122
2.880530,-0.9182,-0.3745,0.8842,1.329
2.892695,-0.2560,-0.2099,0.0048,0.331
2.900931,-0.4516,-0.0575,-0.2577,0.523
2.913418,-2.1168,-0.4639,-1.5800,2.682
2.920749,-2.1972,-0.4960,-2.1301,3.100
2.933057,0.8412,0.9928,0.1133,1.306
2.941604,-0.3187,1.1700,0.1833,1.226
2.957414,2.0903,1.4082,0.5353,2.577
2.960720,2.6690,1.0313,0.6059,2.925
2.974236,2.4755,0.2014,1.4479,2.875
2.980291,2.4274,0.2140,1.4359,2.828
2.993206,0.9891,-0.6977,0.6929,1.395
3.000640,0.6277,-0.4469,0.0781,0.775
3.012863,-0.0648,-0.1621,0.0732,0.189
3.021984,-0.3818,-0.1669,-0.5103,0.659
3.032674,-0.2043,-0.0005,-0.3536,0.408
3.042852,0.0824,0.1473,0.0868,0.190
3.052731,0.2444,0.1755,1.1567,1.195
3.060152,0.1489,0.0358,1.6640,1.671
3.075341,-0.2882,0.0132,2.2272,2.246
3.080635,-0.1316,0.1284,2.3109,2.318
3.092635,-0.0527,0.1365,2.3126,2.317
3.099887,-0.4915,0.1345,1.8508,1.920
3.114244,-1.5722,-0.0521,0.1495,1.580
3.119868,-1.5943,-0.0566,-0.5954,1.703
3.133376,-0.9727,-0.1632,0.0364,0.987
3.141066,-0.3974,-0.2781,0.1848,0.519
3.152563,0.0024,-0.4742,-0.5457,0.723
3.160067,0.1293,-0.4718,-0.4926,0.694
3.176587,-0.5403,-0.7064,-0.2489,0.924
3.180076,-0.7145,-0.7464,-0.4768,1.138
3.193351,-0.9712,-0.6105,-0.6792,1.333
3.200238,-1.0399,-0.4277,-0.6321,1.290
3.213237,-0.1028,-0.0759,-0.5202,0.536
3.220636,0.6695,0.1280,-0.4445,0.814
3.233236,1.4324,0.3888,-1.0809,1.836
3.240372,1.7217,0.5167,-0.1704,1.806
3.253100,0.6389,0.0216,-1.0000,1.187
3.260287,-0.0982,-0.1857,-1.1255,1.145
3.277051,-0.5302,-0.2455,-1.7896,1.883
3.280728,-0.5629,-0.1851,-1.1159,1.264
3.295510,-0.0215,-0.2609,-0.6474,0.698
3.300326,0.1254,-0.2045,-0.5755,0.623
3.312810,1.0314,0.0665,-0.0550,1.035
3.320074,1.0132,0.1573,0.6043,1.190
3.332648,0.3083,-0.0060,0.3909,0.498
3.341349,-0.0199,-0.1374,0.2148,0.256
3.352757,-1.3226,-0.6232,-0.5072,1.547
3.360090,-2.3310,-0.8117,-1.1550,2.725
3.374886,-2.2251,-0.7916,-0.6855,2.459
3.381582,-1.9319,-0.4722,-0.2740,2.008
3.393392,0.5791,0.8046,1.3246,1.654
3.400303,1.1763,1.4524,1.2841,2.268
3.414145,0.5515,1.1791,0.4849,1.389
3.420394,1.2943,0.8718,0.9585,1.831
3.432647,0.8719,0.1154,0.9556,1.299
3.442663,0.4381,-0.2487,-0.0659,0.508
3.452562,-0.9645,-0.6744,-1.5636,1.957
3.459920,-1.0699,-0.7723,-1.0133,1.664
3.473565,-0.8735,-0.3482,-1.2542,1.568
3.479993,-0.6285,0.0080,-0.5976,0.867
3.493104,-0.8302,0.1904,-1.2790,1.537
3.501370,-1.8050,-0.0807,-1.6632,2.456
3.513738,1.1639,0.5317,1.1766,1.738
3.520627,1.0520,0.3207,0.3068,1.142
3.532430,-0.2673,0.1151,-0.4923,0.572
3.541932,0.7145,0.3908,-0.2705,0.858
3.552760,0.7673,0.2076,0.5244,0.952
3.560667,1.4624,0.2853,0.8577,1.719
3.572434,0.9781,-0.0915,1.1853,1.539
3.580061,0.7654,-0.1973,1.5737,1.761
3.594031,0.3095,-0.1775,2.1428,2.172
3.600047,0.4561,-0.0551,2.2351,2.282
3.612456,0.6239,0.0202,1.9476,2.045
3.620336,0.4828,0.0873,1.7499,1.817
3.632405,0.6463,0.0999,1.8088,1.923
3.640174,-0.5426,-0.1407,-1.0175,1.162
3.652842,-0.3617,-0.3796,-0.5023,0.726
3.660831,-0.1566,-0.3042,-0.3938,0.522
3.672868,-0.4942,-0.3859,-0.5120,0.810
3.679907,-0.7658,-0.4046,-0.5664,1.035
3.693771,-0.8946,-0.3016,-0.4004,1.025
3.700850,-0.5238,-0.2272,-0.2205,0.612
3.712684,-0.1300,0.0148,-0.0846,0.156
3.720139,0.1251,0.2634,-0.2790,0.404
3.732840,0.7711,0.4110,0.2773,0.917
3.740198,-1.1389,0.0020,-0.6087,1.291
3.752564,0.0816,-0.3666,-0.1299,0.397
3.761715,0.5104,-0.5585,-0.7361,1.056
3.773857,-0.0094,-0.6669,0.0497,0.669
3.780198,-0.5303,-0.5093,-0.1722,0.755
3.795626,-0.9206,-0.0616,-0.5085,1.053
3.801272,-0.4794,0.2438,-0.5410,0.763
3.812794,0.4890,0.6860,-0.6918,1.090
3.819919,0.5109,0.7813,-1.3746,1.662
3.832543,0.3452,0.4600,-1.2975,1.419
3.840159,0.0978,0.1476,-1.0057,1.021
3.852405,-0.3167,-0.4166,-0.5590,0.766
3.862636,-1.2170,-0.7317,-0.1048,1.424
3.872549,-1.3476,-0.5427,-0.1998,1.466
3.880514,-0.8901,-0.1967,-0.2447,0.944
3.895337,0.1415,0.3766,-0.6288,0.747
3.899904,-0.0308,0.3243,-0.2033,0.384
3.913277,0.4834,-0.0040,-0.3307,0.586
3.921399,0.6310,-0.1356,-0.4037,0.761
3.932474,1.0528,-0.2813,0.3500,1.145
3.940176,0.0854,-0.3800,0.4858,0.623
3.952732,-0.8130,-0.3733,0.3572,0.963
3.962358,-1.0102,-0.5479,0.7351,1.364
3.972660,-0.0090,0.1187,-1.3366,1.342
3.982123,0.3062,0.7040,-0.9267,1.203
3.997460,1.0629,1.5187,0.6212,1.955
4.000143,0.8954,0.8380,0.4615,1.310
4.013023,0.2110,-0.2041,-0.7550,0.810
4.020073,0.8954,-0.6565,-0.5323,1.231
4.032377,0.3283,-0.4299,0.7932,0.960
4.040364,-0.1403,-0.1646,1.0380,1.060
4.052529,-1.5223,0.0839,0.0074,1.525
4.060899,-1.8131,-0.0548,-0.6261,1.919
4.073777,-0.7135,-0.0181,0.3115,0.779
4.079932,-0.3860,-0.0197,0.8109,0.898
4.094327,0.2999,-0.0061,0.7750,0.831
4.101434,0.7561,-0.0573,1.0330,1.281
4.112391,0.4406,-1.0279,2.4393,2.683
4.120087,-0.2212,-0.8642,1.7664,1.979
4.132460,1.6690,0.4122,1.7768,2.472
4.140385,1.6855,0.5386,2.5148,3.075
4.152431,0.6778,0.2240,1.5121,1.672
4.160789,0.5543,0.1159,1.3049,1.423
4.172407,0.1046,-0.0029,2.8326,2.835
4.180534,-0.8837,0.0240,2.3419,2.503
4.193700,-1.2285,-0.1038,-0.6825,1.409
4.200125,-0.8402,0.0232,-0.5435,1.001
4.215342,-1.0658,0.0511,-1.0252,1.480
4.221512,-1.0022,-0.0948,-1.6724,1.952
4.232677,-0.9181,-0.2176,-1.9567,2.172
4.240283,-0.4623,-0.1784,-1.2951,1.387
4.252489,0.7133,0.0356,-0.8846,1.137
4.259798,1.2379,0.3466,-0.2093,1.302
4.272757,2.0772,0.7415,0.3511,2.233
4.280580,2.0328,0.7690,-0.2015,2.183
4.292525,1.3338,0.3520,-2.0370,2.460
4.300050,0.4821,-0.1806,-0.0667,0.519
4.315043,-0.7374,-0.9539,-2.4878,2.765
4.320091,-1.7344,-1.1066,-2.6537,3.358
4.333166,-1.2683,-0.9043,-1.5920,2.227
4.341898,-0.6979,-0.7095,-0.9139,1.351
4.352642,-0.3816,-0.3490,-0.6954,0.867
4.360294,-0.3570,0.1108,-0.3433,0.508
4.374066,0.5879,0.5141,-0.6023,0.986
4.380789,0.8787,0.5313,-0.5362,1.158
4.393473,0.0995,-0.0758,0.0959,0.158
4.400089,-0.7090,-0.6693,0.6809,1.189
4.416231,-1.1434,-1.0031,-0.6370,1.649
4.420342,-0.2343,-0.7407,-0.6231,0.996
4.432792,0.1273,-0.1860,0.6803,0.717
4.440012,-0.2763,-0.1643,1.1796,1.223
4.452695,-0.7806,0.0346,0.2675,0.826
4.460630,-1.3250,0.2642,-0.3145,1.387
4.472666,0.3427,1.0367,-0.3426,1.144
4.480913,2.6131,1.8980,1.3698,3.508
4.493644,0.2135,0.4130,0.3616,0.589
4.500035,-0.0757,-0.2203,-0.5886,0.633
4.518153,0.8814,-0.4959,0.4336,1.100
4.521805,0.3675,-0.6269,1.2112,1.412
4.532714,-0.2430,-0.3534,-0.4837,0.646
4.540128,-0.8230,-0.2781,-0.9368,1.278
4.553123,-1.3431,-0.3502,-1.1946,1.831
