time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
4.011970,0.0322,-1.3105,4.9094,5.081
4.018699,0.2711,-1.7160,4.0096,4.370
4.032556,0.6937,-3.1664,3.6297,4.866
4.038957,1.3663,-3.9636,3.4116,5.405
4.051686,2.8135,-5.3947,2.6735,6.646
4.060028,2.2711,-5.9079,1.4811,6.500
4.072306,0.2563,-4.8939,-2.1331,5.345
4.085750,-0.1516,-3.4935,-3.2132,4.749
4.093292,-0.5410,-1.8479,-2.7734,3.376
4.104154,-1.0162,-2.0004,-1.6455,2.782
4.113850,-0.9269,-5.2754,1.4747,5.555
4.119719,0.1607,-8.0320,3.7147,8.851
4.133194,1.4285,-10.4842,4.6250,11.548
4.138777,1.6951,-9.2637,2.1642,9.663
4.151651,-0.7518,-3.6492,-0.2608,3.735
4.159079,-2.1537,-0.8247,-0.7575,2.427
4.171891,-3.6468,2.5990,-1.5603,4.742
4.179649,-3.3267,3.2632,-2.2196,5.162
4.191885,-1.7961,3.6200,-1.9600,4.491
4.204670,-2.1095,3.7749,-1.9936,4.762
4.212136,-1.3253,3.2993,-1.9850,4.072
4.222925,-1.0730,3.5952,-2.3211,4.412
4.232407,0.5654,5.3374,-2.9479,6.124
4.240083,0.9947,5.0857,-3.2994,6.143
4.251775,0.8449,5.3019,-3.3199,6.312
4.258727,1.3104,6.1602,-3.3761,7.146
4.271780,0.7093,5.4915,-3.6923,6.655
4.278751,-0.5790,6.9056,-3.5336,7.779
4.292167,-0.4714,9.7232,-4.0022,10.525
4.307908,-0.4505,9.6930,-4.5373,10.712
4.312479,-0.7298,7.7175,-3.3616,8.449
4.319014,-0.4135,7.4007,-3.0582,8.018
4.332180,-0.6919,6.3674,-1.6981,6.626
4.338993,-0.9350,5.5353,-0.3990,5.628
4.351852,-0.6864,3.3785,3.5637,4.958
4.359775,-0.3191,2.3304,6.1519,6.586
4.372110,0.6746,0.2947,11.2848,11.309
4.381640,1.0039,-0.3426,12.3028,12.348
4.393236,0.5278,-0.8986,10.9882,11.038
4.406181,0.2296,-1.0711,9.4928,9.556
4.411633,0.0177,-1.0297,5.8505,5.940
4.420248,-0.3221,-0.3535,3.8082,3.838
4.433565,-0.9498,1.2233,0.2404,1.567
4.438978,-1.1775,1.5715,-1.2650,2.336
4.451825,-1.9809,2.1003,-1.8031,3.404
4.459036,-2.3289,2.4272,-0.4415,3.393
4.473370,-2.6747,3.1881,2.2012,4.708
4.478994,-3.8686,2.6973,3.9549,6.155
4.493976,-3.9079,2.7217,4.0238,6.235
4.501100,-7.8436,-7.5978,3.5582,11.485
4.511988,-4.9920,-10.2233,-3.5496,11.918
4.518822,-4.1295,-9.3058,-2.9268,10.593
4.534006,-4.6909,-10.4662,1.7241,11.598
4.538961,-1.6501,-9.7661,2.9578,10.337
4.551992,0.6915,-0.8991,-1.3581,1.769
4.558646,-0.3361,3.9059,-6.0438,7.204
4.571589,-3.4039,7.3048,-9.8659,12.739
4.579416,-5.1027,7.6467,-8.1831,12.307
4.593239,-3.1842,8.4526,-0.3928,9.041
4.605384,-0.8357,7.2610,1.8691,7.544
4.618634,5.0662,1.1807,-1.4292,5.395
4.619810,8.8740,-1.3470,-7.4732,11.680
4.635917,10.2874,-4.4754,-8.2135,13.904
4.639220,8.3608,-5.8442,-4.7983,11.273
4.652222,6.9021,-5.4964,1.6114,8.969
4.658985,5.8011,-4.1603,2.4064,7.533
4.672112,3.0293,-0.8083,0.3038,3.150
4.679020,0.2578,1.0409,0.0464,1.073
4.692574,-4.4177,3.2452,0.9080,5.556
4.715807,-5.5802,4.0275,1.2956,7.003
4.717182,-5.4838,4.5796,0.4619,7.160
4.722733,-4.6190,4.3674,0.3099,6.364
4.733566,-1.4926,3.3958,0.2989,3.721
4.738505,0.2964,2.3813,0.6816,2.495
4.751862,2.8479,0.9811,1.6157,3.418
4.758492,4.0234,0.4150,2.0310,4.526
4.771594,4.6483,-0.2988,2.3557,5.220
4.778686,4.4415,-0.1020,2.4394,5.068
4.791692,2.8676,1.2951,2.4154,3.967
4.803855,1.7560,2.1921,2.5176,3.772
4.811854,-0.0605,2.8885,2.7151,3.965
4.818386,-0.3588,2.4293,2.8559,3.767
4.831782,0.1838,1.1546,2.9819,3.203
4.838561,0.6080,0.4194,3.0354,3.124
4.852194,0.9857,0.1837,2.5579,2.747
4.860733,1.0758,0.5865,2.2068,2.524
4.871730,0.8634,1.4786,1.7367,2.439
4.878660,0.6832,1.8624,1.7228,2.627
4.891601,0.0739,1.6701,2.2227,2.781
4.903318,0.0590,0.8769,2.7608,2.897
4.913275,1.1224,-0.9352,3.1302,3.454
4.919568,2.4528,-2.0704,2.9794,4.379
4.933552,3.8661,-4.4904,2.4971,6.430
4.939240,3.7769,-5.4096,2.9208,7.215
4.953608,2.5971,-4.7902,4.6224,7.145
4.960663,2.2056,-3.9294,5.5505,7.149
4.971769,3.7154,-3.4970,5.7532,7.690
4.979106,5.0857,-3.8770,5.4227,8.385
4.992807,6.4634,-4.5943,5.7640,9.803
4.998638,6.6464,-4.5052,6.6243,10.409
5.011873,6.1797,-3.5741,8.0442,10.755
5.020604,6.3236,-3.2873,8.2175,10.878
5.032134,6.9664,-3.8017,6.5349,10.281
5.038372,6.5565,-3.9752,5.4452,9.404
5.052774,5.3787,-2.8082,5.7261,8.343
5.058290,4.6711,-2.0037,5.8693,7.764
5.072158,3.8781,-0.0245,4.2996,5.790
5.078659,3.5858,0.4615,2.4837,4.386
5.094648,3.9104,-1.0202,-2.2751,4.638
5.099009,4.3351,-1.9296,-4.7702,6.728
5.111856,3.5262,-3.1251,-7.6530,8.987
5.119647,0.7443,-5.2587,-7.2700,9.003
5.131643,-6.3096,-9.0752,-3.7641,11.676
5.138868,-7.2940,-10.8534,1.1768,13.129
5.153004,-4.6566,-12.8363,7.7209,15.687
5.158531,-1.6439,-12.7771,4.9499,13.801
5.171671,1.8374,-11.2850,0.6267,11.451
5.178597,0.6845,-10.4113,-0.6714,10.455
5.191962,-2.6887,-7.1244,-1.8445,7.835
5.198576,-2.7861,-4.1895,-1.9998,5.414
5.211812,-3.2032,0.4171,-2.8779,4.326
5.220532,-2.9542,1.9760,-3.7694,5.181
5.231560,-2.2453,4.5002,-3.7824,6.293
5.238528,-0.6833,5.0064,-3.2944,6.032
5.253434,0.7162,5.6727,-2.9025,6.412
5.258371,0.7056,5.8588,-3.1868,6.707
5.271798,0.1004,6.7572,-3.8174,7.762
5.278525,-0.2022,7.3409,-4.2027,8.461
5.291809,-0.2311,8.7442,-5.2876,10.221
5.298395,0.1307,8.7323,-6.0323,10.614
5.311828,0.7131,9.1093,-6.7670,11.370
5.320925,0.6229,9.3747,-6.9784,11.703
5.331782,1.1601,9.7947,-7.6663,12.492
5.338605,1.5600,9.5815,-7.9925,12.574
5.352336,2.3366,9.0321,-7.4409,11.933
5.358376,2.1262,9.0597,-7.2114,11.773
5.372277,0.8953,8.6210,-5.6574,10.350
5.378724,0.4419,7.6806,-4.8436,9.091
5.391918,-0.4876,5.8209,-2.2492,6.259
5.398925,-1.1627,5.0056,-0.3216,5.149
5.412121,-2.0895,2.1423,3.7447,4.794
5.422026,-2.1969,-0.0477,6.6003,6.956
5.432214,-2.2157,-6.8673,12.5861,14.508
5.438556,-1.5715,-11.3728,15.7092,19.457
5.452991,1.2332,-15.7673,13.2655,20.642
5.458735,1.4225,-14.3818,10.8728,18.085
5.471391,0.5642,-6.6585,7.2849,9.886
5.479509,-0.1775,-3.6511,6.2631,7.252
5.492010,-1.9404,0.0945,3.2622,3.797
5.498549,-2.4602,2.0775,1.3217,3.481
5.511614,-2.0383,4.6458,0.1636,5.076
5.527833,-1.5789,4.6192,0.7676,4.942
5.531715,-3.1524,0.2260,3.5671,4.766
5.538249,-3.8628,-3.1877,4.7642,6.912
5.554022,-4.0611,-6.4023,2.8079,8.085
5.558316,-4.0329,-5.5673,0.8924,6.932
5.571901,-3.7421,-6.2152,-4.2960,8.431
5.578683,-2.4209,-7.1211,-6.3369,9.835
5.591751,-2.3345,-3.8064,-5.3269,6.951
5.598670,-4.4819,-1.0031,-3.2249,5.612
5.611331,-3.7095,4.2703,-4.7335,7.376
5.622385,-1.9977,6.1220,-6.7947,9.362
5.631776,-1.3205,6.4121,-8.2844,10.559
5.638759,-2.0261,6.5877,-6.6301,9.564
5.652421,-1.1805,7.1640,-0.3468,7.269
5.658693,0.5771,6.4127,0.6102,6.467
5.671705,6.6527,-0.2550,-4.5137,8.043
5.678350,7.7364,-4.5096,-6.9216,11.318
5.691852,7.4609,-6.1173,-6.7914,11.799
5.699758,6.6501,-5.4568,-5.2266,10.066
5.712424,4.1571,-4.2789,-0.6935,6.006
5.718737,2.3322,-3.1058,1.8561,4.305
5.731857,-0.7476,0.1001,3.1959,3.284
5.738648,-2.6087,1.9884,2.4298,4.082
5.753731,-3.5253,4.1737,0.3457,5.474
5.758630,-3.3363,4.4315,-0.9242,5.623
5.772124,-2.4067,4.4564,-1.6407,5.324
5.781390,-2.6290,4.1192,0.0841,4.887
5.791917,-2.4159,3.0941,2.2702,4.535
5.798968,-2.4079,3.0908,2.4581,4.625
5.813525,-0.0213,1.5230,1.8347,2.385
5.818881,1.0256,0.8689,1.6610,2.137
5.833479,1.8080,0.2650,1.9120,2.645
5.841841,2.0577,0.5604,2.1200,3.007
5.851884,1.3189,1.2251,2.1587,2.811
5.858307,0.3892,1.6161,2.1538,2.721
5.872180,-0.4423,2.4177,2.1299,3.252
5.878582,-0.1543,2.5647,1.9582,3.230
5.891829,1.2030,2.3049,1.4012,2.954
5.898629,2.2007,1.6984,1.3011,3.069
5.914730,3.0155,0.1714,1.8062,3.519
5.918918,2.8553,-0.5077,2.4565,3.801
5.933050,2.1215,-1.3444,3.3740,4.206
5.939161,1.4968,-2.1818,3.7914,4.623
5.951827,0.5325,-3.7675,4.3703,5.795
5.958562,0.3123,-4.1747,4.5575,6.188
5.972627,0.4399,-4.3524,4.6029,6.350
5.978540,1.3609,-4.1589,4.9857,6.634
5.991866,3.7165,-3.9211,5.6374,7.808
6.000317,4.9566,-4.0357,5.8069,8.636
6.011461,6.3980,-4.7625,6.3534,10.197
6.018548,6.8906,-5.1387,6.5868,10.829
6.031631,6.2771,-4.9235,6.9273,10.566
6.038298,5.4100,-4.3868,7.6526,10.348
6.051756,2.6479,-4.4675,9.4711,10.801
6.058323,1.3978,-4.8194,9.1335,10.421
6.072280,0.9974,-3.9721,6.0085,7.271
6.078469,1.5676,-2.9040,3.9684,5.161
6.091735,2.8260,-1.2476,0.9674,3.237
6.098587,3.6053,-1.2433,-0.9620,3.933
6.114723,5.7735,-2.8061,-5.0569,8.172
6.119243,5.4831,-4.0447,-6.6150,9.496
6.133980,-0.6537,-6.9906,-6.4972,9.566
6.140566,-3.5534,-7.7263,-4.3312,9.544
6.152786,-6.3117,-9.5094,1.3001,11.487
6.158704,-6.8192,-10.2604,3.0207,12.685
6.173655,-6.2801,-9.9544,3.3505,12.237
6.178507,-5.6347,-8.3544,1.0432,10.131
6.191693,-3.5045,-7.3007,-2.7456,8.551
6.198545,-3.0197,-6.6057,-1.4485,7.406
6.211269,-5.3403,-4.2242,1.0107,6.884
6.219286,-4.9265,-2.1621,-0.0223,5.380
6.231600,-3.1128,1.7290,-1.1134,3.731
6.239607,-2.7114,2.5375,-1.3790,3.961
6.251745,-1.6810,2.6714,-2.7530,4.188
6.258369,0.5287,2.8714,-3.0221,4.202
6.273543,2.3919,3.4914,-3.9170,5.767
6.278303,3.2037,4.3202,-4.5424,7.040
6.292028,2.8976,5.6657,-5.1247,8.171
6.298242,2.0228,6.7151,-5.2978,8.789
6.311385,0.4239,9.1073,-5.5885,10.694
6.318557,-0.4942,10.0482,-5.9721,11.699
6.332567,-1.4014,10.2409,-5.6582,11.784
6.341229,-1.3186,9.3759,-5.5233,10.961
6.351674,-1.0073,8.2948,-6.0629,10.324
6.358326,-0.6569,7.9355,-6.6069,10.347
6.375089,0.3126,7.4497,-7.1429,10.326
6.378332,0.6817,7.3018,-6.9076,10.074
6.391662,0.2802,7.3479,-6.3977,9.747
6.398669,-0.0738,7.4355,-5.8656,9.471
6.412981,-1.1401,7.0979,-4.6041,8.537
6.421865,-1.5654,6.5983,-3.4580,7.612
6.432742,-1.6905,5.1661,-0.8681,5.505
6.440386,-1.8047,4.1284,1.1063,4.640
6.452008,-2.1858,0.8888,5.2147,5.724
6.458698,-2.2496,-1.9284,8.4691,8.972
6.474552,-2.2287,-8.5155,14.8564,17.268
6.478524,-1.2087,-13.8039,18.2017,22.876
6.491607,0.3977,-19.9609,15.0435,24.998
6.498378,-0.3319,-15.0278,13.5226,20.219
6.511954,-0.6592,-5.6130,10.2936,11.743
6.524247,-1.0906,-2.3163,9.0519,9.407
6.531421,-2.1121,2.4502,4.2198,5.317
6.538850,-3.0755,5.1311,0.2692,5.988
